Dia de Data Registro Vacina;Dose;Contagem de Dose
25 de abril de 2021;1° DOSE;8741
24 de abril de 2021;1° DOSE;64634
23 de abril de 2021;1° DOSE;185327
22 de abril de 2021;1° DOSE;140496
21 de abril de 2021;1° DOSE;209008
20 de abril de 2021;1° DOSE;120069
19 de abril de 2021;1° DOSE;70183
18 de abril de 2021;1° DOSE;14394
17 de abril de 2021;1° DOSE;35262
16 de abril de 2021;1° DOSE;65446
15 de abril de 2021;1° DOSE;87640
14 de abril de 2021;1° DOSE;119689
13 de abril de 2021;1° DOSE;130026
12 de abril de 2021;1° DOSE;140088
11 de abril de 2021;1° DOSE;11602
10 de abril de 2021;1° DOSE;63758
9 de abril de 2021;1° DOSE;42441
8 de abril de 2021;1° DOSE;56307
7 de abril de 2021;1° DOSE;88707
6 de abril de 2021;1° DOSE;116194
5 de abril de 2021;1° DOSE;111101
4 de abril de 2021;1° DOSE;5699
3 de abril de 2021;1° DOSE;42133
2 de abril de 2021;1° DOSE;49417
1 de abril de 2021;1° DOSE;91301
31 de março de 2021;1° DOSE;84322
30 de março de 2021;1° DOSE;113242
29 de março de 2021;1° DOSE;160347
28 de março de 2021;1° DOSE;16870
27 de março de 2021;1° DOSE;103022
26 de março de 2021;1° DOSE;214355
25 de março de 2021;1° DOSE;126065
24 de março de 2021;1° DOSE;90435
23 de março de 2021;1° DOSE;104926
22 de março de 2021;1° DOSE;139596
21 de março de 2021;1° DOSE;13931
20 de março de 2021;1° DOSE;91165
19 de março de 2021;1° DOSE;193818
18 de março de 2021;1° DOSE;78960
17 de março de 2021;1° DOSE;80011
16 de março de 2021;1° DOSE;82877
15 de março de 2021;1° DOSE;131562
14 de março de 2021;1° DOSE;9430
13 de março de 2021;1° DOSE;29733
12 de março de 2021;1° DOSE;55780
11 de março de 2021;1° DOSE;56599
10 de março de 2021;1° DOSE;60032
9 de março de 2021;1° DOSE;69504
8 de março de 2021;1° DOSE;74087
7 de março de 2021;1° DOSE;12001
6 de março de 2021;1° DOSE;49155
5 de março de 2021;1° DOSE;79530
4 de março de 2021;1° DOSE;106774
3 de março de 2021;1° DOSE;130993
2 de março de 2021;1° DOSE;99118
1 de março de 2021;1° DOSE;112862
28 de fevereiro de 2021;1° DOSE;14170
27 de fevereiro de 2021;1° DOSE;49786
26 de fevereiro de 2021;1° DOSE;22717
25 de fevereiro de 2021;1° DOSE;24711
24 de fevereiro de 2021;1° DOSE;27157
23 de fevereiro de 2021;1° DOSE;34424
22 de fevereiro de 2021;1° DOSE;37781
21 de fevereiro de 2021;1° DOSE;6028
20 de fevereiro de 2021;1° DOSE;16311
19 de fevereiro de 2021;1° DOSE;43153
18 de fevereiro de 2021;1° DOSE;50266
17 de fevereiro de 2021;1° DOSE;52032
16 de fevereiro de 2021;1° DOSE;53884
15 de fevereiro de 2021;1° DOSE;68627
14 de fevereiro de 2021;1° DOSE;7257
13 de fevereiro de 2021;1° DOSE;30370
12 de fevereiro de 2021;1° DOSE;107791
11 de fevereiro de 2021;1° DOSE;94801
10 de fevereiro de 2021;1° DOSE;81886
9 de fevereiro de 2021;1° DOSE;111491
8 de fevereiro de 2021;1° DOSE;102577
7 de fevereiro de 2021;1° DOSE;14284
6 de fevereiro de 2021;1° DOSE;44156
5 de fevereiro de 2021;1° DOSE;91000
4 de fevereiro de 2021;1° DOSE;80365
3 de fevereiro de 2021;1° DOSE;70679
2 de fevereiro de 2021;1° DOSE;58868
1 de fevereiro de 2021;1° DOSE;56203
31 de janeiro de 2021;1° DOSE;6006
30 de janeiro de 2021;1° DOSE;22010
29 de janeiro de 2021;1° DOSE;55741
28 de janeiro de 2021;1° DOSE;70958
27 de janeiro de 2021;1° DOSE;38236
26 de janeiro de 2021;1° DOSE;44188
25 de janeiro de 2021;1° DOSE;21338
24 de janeiro de 2021;1° DOSE;6384
23 de janeiro de 2021;1° DOSE;16875
22 de janeiro de 2021;1° DOSE;51676
21 de janeiro de 2021;1° DOSE;32113
20 de janeiro de 2021;1° DOSE;14183
19 de janeiro de 2021;1° DOSE;7451
18 de janeiro de 2021;1° DOSE;877
17 de janeiro de 2021;1° DOSE;100
25 de abril de 2021;2° DOSE;8457
24 de abril de 2021;2° DOSE;63791
23 de abril de 2021;2° DOSE;149348
22 de abril de 2021;2° DOSE;132801
21 de abril de 2021;2° DOSE;56094
20 de abril de 2021;2° DOSE;148235
19 de abril de 2021;2° DOSE;138323
18 de abril de 2021;2° DOSE;17475
17 de abril de 2021;2° DOSE;82482
16 de abril de 2021;2° DOSE;234113
15 de abril de 2021;2° DOSE;123857
14 de abril de 2021;2° DOSE;83078
13 de abril de 2021;2° DOSE;91646
12 de abril de 2021;2° DOSE;127852
11 de abril de 2021;2° DOSE;12568
10 de abril de 2021;2° DOSE;55347
9 de abril de 2021;2° DOSE;165731
8 de abril de 2021;2° DOSE;66802
7 de abril de 2021;2° DOSE;75847
6 de abril de 2021;2° DOSE;99802
5 de abril de 2021;2° DOSE;109753
4 de abril de 2021;2° DOSE;4473
3 de abril de 2021;2° DOSE;15206
2 de abril de 2021;2° DOSE;7247
1 de abril de 2021;2° DOSE;43261
31 de março de 2021;2° DOSE;58930
30 de março de 2021;2° DOSE;50706
29 de março de 2021;2° DOSE;45855
28 de março de 2021;2° DOSE;5668
27 de março de 2021;2° DOSE;13952
26 de março de 2021;2° DOSE;31934
25 de março de 2021;2° DOSE;40151
24 de março de 2021;2° DOSE;53731
23 de março de 2021;2° DOSE;21416
22 de março de 2021;2° DOSE;19074
21 de março de 2021;2° DOSE;2489
20 de março de 2021;2° DOSE;6437
19 de março de 2021;2° DOSE;18386
18 de março de 2021;2° DOSE;25473
17 de março de 2021;2° DOSE;32341
16 de março de 2021;2° DOSE;25595
15 de março de 2021;2° DOSE;29375
14 de março de 2021;2° DOSE;1803
13 de março de 2021;2° DOSE;11750
12 de março de 2021;2° DOSE;43351
11 de março de 2021;2° DOSE;48145
10 de março de 2021;2° DOSE;46952
9 de março de 2021;2° DOSE;49876
8 de março de 2021;2° DOSE;49802
7 de março de 2021;2° DOSE;4718
6 de março de 2021;2° DOSE;24919
5 de março de 2021;2° DOSE;63198
4 de março de 2021;2° DOSE;59871
3 de março de 2021;2° DOSE;59955
2 de março de 2021;2° DOSE;59441
1 de março de 2021;2° DOSE;28099
28 de fevereiro de 2021;2° DOSE;3340
27 de fevereiro de 2021;2° DOSE;8546
26 de fevereiro de 2021;2° DOSE;32332
25 de fevereiro de 2021;2° DOSE;20845
24 de fevereiro de 2021;2° DOSE;22660
23 de fevereiro de 2021;2° DOSE;26243
22 de fevereiro de 2021;2° DOSE;28850
21 de fevereiro de 2021;2° DOSE;2163
20 de fevereiro de 2021;2° DOSE;7475
19 de fevereiro de 2021;2° DOSE;41002
18 de fevereiro de 2021;2° DOSE;52892
17 de fevereiro de 2021;2° DOSE;53848
16 de fevereiro de 2021;2° DOSE;56288
15 de fevereiro de 2021;2° DOSE;51967
14 de fevereiro de 2021;2° DOSE;9367
13 de fevereiro de 2021;2° DOSE;12456
12 de fevereiro de 2021;2° DOSE;51106
11 de fevereiro de 2021;2° DOSE;32604
10 de fevereiro de 2021;2° DOSE;4375
9 de fevereiro de 2021;2° DOSE;747
8 de fevereiro de 2021;2° DOSE;327
7 de fevereiro de 2021;2° DOSE;21
6 de fevereiro de 2021;2° DOSE;58
5 de fevereiro de 2021;2° DOSE;27
4 de fevereiro de 2021;2° DOSE;16
3 de fevereiro de 2021;2° DOSE;14
2 de fevereiro de 2021;2° DOSE;4
1 de fevereiro de 2021;2° DOSE;47
31 de janeiro de 2021;2° DOSE;4
30 de janeiro de 2021;2° DOSE;2
29 de janeiro de 2021;2° DOSE;4
28 de janeiro de 2021;2° DOSE;34
27 de janeiro de 2021;2° DOSE;3
26 de janeiro de 2021;2° DOSE;4
25 de janeiro de 2021;2° DOSE;3
23 de janeiro de 2021;2° DOSE;2
22 de janeiro de 2021;2° DOSE;9
20 de janeiro de 2021;2° DOSE;1
18 de janeiro de 2021;2° DOSE;2
